address,LATB,LNGB,price,time
"天汇龙城??
                    黄陂-盘龙城-巨龙大道90号",30.717746,114.276375,11764,2016
"天汇龙城??
                    黄陂-盘龙城-巨龙大道90号",30.717746,114.276375,12409,2015
"天汇龙城??
                    黄陂-盘龙城-巨龙大道90号",30.717746,114.276375,11454,2016
"天汇龙城??
                    黄陂-盘龙城-巨龙大道90号",30.717746,114.276375,11454,2006
"天汇龙城??
                    黄陂-盘龙城-巨龙大道90号",30.717746,114.276375,11423,2015
"天汇龙城??
                    黄陂-盘龙城-巨龙大道90号",30.717746,114.276375,11458,2016
"珩生领袖城??
                    黄陂-盘龙城-盘龙大道",30.716887,114.269104,11516,2014
"珩生领袖城??
                    黄陂-盘龙城-盘龙大道",30.716887,114.269104,11842,2012
"珩生领袖城??
                    黄陂-盘龙城-盘龙大道",30.716887,114.269104,11212,2012
"珩生领袖城??
                    黄陂-盘龙城-盘龙大道",30.716887,114.269104,12359,2008
"南湖华锦春天故事??
                    武昌-南湖花园-富安街",30.716358,120.844535,20245,2003
"南湖狮山美庐??
                    洪山-珞狮南路-珞狮南路",30.716358,120.844535,17553,2006
"鼎鑫摩卡小镇??
                    黄陂-盘龙城-露甲山路3号",30.715052,114.253631,11764,2011
"鼎鑫摩卡小镇??
                    黄陂-盘龙城-露甲山路3号",30.715052,114.253631,10731,2006
"鼎鑫摩卡小镇??
                    黄陂-盘龙城-露甲山路3号",30.715052,114.253631,10549,2012
"鼎鑫摩卡小镇??
                    黄陂-盘龙城-露甲山路3号",30.715052,114.253631,10878,2017
"鼎鑫摩卡小镇??
                    黄陂-盘龙城-露甲山路3号",30.715052,114.253631,11704,2012
"龙城天居园??
                    黄陂-盘龙城-巨龙大道161号",30.715001,114.259063,11896,2012
"名流人和天地怡和园??
                    黄陂-盘龙城-巨龙大道88号",30.714937,114.283474,10991,2012
"名流人和天地怡和园??
                    黄陂-盘龙城-巨龙大道88号",30.714937,114.283474,13043,2012
"名流人和天地怡和园??
                    黄陂-盘龙城-巨龙大道88号",30.714937,114.283474,11682,2013
"名流人和天地怡和园??
                    黄陂-盘龙城-巨龙大道88号",30.714937,114.283474,11694,2012
"歌林花园??
                    黄陂-盘龙城-巨龙大道159号",30.714771,114.261447,13095,2015
"歌林花园??
                    黄陂-盘龙城-巨龙大道159号",30.714771,114.261447,12790,2013
"歌林花园??
                    黄陂-盘龙城-巨龙大道159号",30.714771,114.261447,13225,2012
"歌林花园??
                    黄陂-盘龙城-巨龙大道159号",30.714771,114.261447,14047,2010
"歌林花园??
                    黄陂-盘龙城-巨龙大道159号",30.714771,114.261447,12049,2012
"歌林花园??
                    黄陂-盘龙城-巨龙大道159号",30.714771,114.261447,12941,2017
"歌林花园??
                    黄陂-盘龙城-巨龙大道159号",30.714771,114.261447,12903,2012
"歌林花园??
                    黄陂-盘龙城-巨龙大道159号",30.714771,114.261447,12000,2010
"盘龙新天地??
                    黄陂-盘龙城-露甲山特1号",30.713874,114.250758,9489,2011
"龙城懿品??
                    黄陂-盘龙城-巨龙大道143号",30.713216,114.271494,12745,2014
"龙城花园??
                    黄陂-盘龙城-巨龙大道",30.712521,114.289524,12156,2011
"哥特帝景??
                    黄陂-盘龙城-露甲山路17号",30.711756,114.252925,8630,2012
"风荷苑??
                    新洲-阳逻开发区-圆梦北路",30.711152,114.585235,7040,2017
"美景天城??
                    黄陂-盘龙城-巨龙大道48号",30.71098,114.295746,11092,2015
"美景天城??
                    黄陂-盘龙城-巨龙大道48号",30.71098,114.295746,12218,2013
"泰合雅文小区??
                    黄陂-武湖-汉施公路",30.710531,114.434421,10707,2011
"新澳城市印象??
                    新洲-阳逻开发区-余泊北路",30.709608,114.574645,7407,2011
"新澳城市印象??
                    新洲-阳逻开发区-余泊北路",30.709608,114.574645,7727,2015
"巢上城俊园??
                    黄陂-盘龙城-汤云海路",30.709096,114.253269,12500,2011
"巢上城俊园??
                    黄陂-盘龙城-汤云海路",30.709096,114.253269,13918,2011
"中城时代??
                    黄陂-盘龙城-巨龙大道",30.708608,114.291582,14805,2015
"中城时代??
                    黄陂-盘龙城-巨龙大道",30.708608,114.291582,10454,2013
"中城时代??
                    黄陂-盘龙城-巨龙大道",30.708608,114.291582,14935,2011
"中城时代??
                    黄陂-盘龙城-巨龙大道",30.708608,114.291582,12272,2014
"中城时代??
                    黄陂-盘龙城-巨龙大道",30.708608,114.291582,15064,2012
"巢上城锦园??
                    黄陂-盘龙城-汤云海路",30.70828,114.257708,13488,2013
"香奈天鹅湖??
                    黄陂-盘龙城-巨龙大道46号",30.705704,114.295505,9000,2013
"香奈天鹅湖(别墅)??
                    黄陂-盘龙城-巨龙大道46号",30.705704,114.295505,10360,2010
"08经典??
                    黄陂-盘龙城-巨龙大道30号",30.70535,114.30324,11818,2008
"恒大名都??
                    黄陂-盘龙城-巨龙大道33号",30.70529,114.298894,13792,2014
"恒大名都??
                    黄陂-盘龙城-巨龙大道33号",30.70529,114.298894,11914,2016
"恒大名都??
                    黄陂-盘龙城-巨龙大道33号",30.70529,114.298894,12333,2016
"恒大名都??
                    黄陂-盘龙城-巨龙大道33号",30.70529,114.298894,11666,2012
"恒大名都??
                    黄陂-盘龙城-巨龙大道33号",30.70529,114.298894,11904,2014
"恒大名都??
                    黄陂-盘龙城-巨龙大道33号",30.70529,114.298894,12166,2014
"天昊玫瑰园??
                    黄陂-武湖-武湖立山路",30.704238,114.419454,11931,2015
"天昊玫瑰园??
                    黄陂-武湖-武湖立山路",30.704238,114.419454,11363,2011
"天昊玫瑰园??
                    黄陂-武湖-武湖立山路",30.704238,114.419454,11590,2014
"二八八社区??
                    黄陂-汉口北-汉口北大道",30.703508,114.319564,12043,1996
"盛世年华??
                    黄陂-武湖-光明路特1号",30.702526,114.420617,12903,2012
"天纵汉北康城(1-7栋)??
                    黄陂-汉口北-汉黄路",30.700011,114.320335,14047,2011
"天纵城??
                    黄陂-盘龙城-盘龙一路",30.69958,114.310471,11159,2015
"天纵城??
                    黄陂-盘龙城-盘龙一路",30.69958,114.310471,11111,2017
"天纵城??
                    黄陂-盘龙城-盘龙一路",30.69958,114.310471,12637,2016
"天纵城??
                    黄陂-盘龙城-盘龙一路",30.69958,114.310471,12135,2014
"天纵城??
                    黄陂-盘龙城-盘龙一路",30.69958,114.310471,12658,2018
"天纵城??
                    黄陂-盘龙城-盘龙一路",30.69958,114.310471,11411,2015
"天纵城??
                    黄陂-盘龙城-盘龙一路",30.69958,114.310471,12211,2016
"阳光新港中央花园城??
                    新洲-阳逻开发区-余泊南路",30.697451,114.577,8289,2011
"阳光新港中央花园城??
                    新洲-阳逻开发区-余泊南路",30.697451,114.577,8133,2014
"阳光新港中央花园城??
                    新洲-阳逻开发区-余泊南路",30.697451,114.577,8153,2015
"阳光新港中央花园城??
                    新洲-阳逻开发区-余泊南路",30.697451,114.577,8241,2012
"阳光新港中央花园城??
                    新洲-阳逻开发区-余泊南路",30.697451,114.577,8644,2012
"阳光新港中央花园城??
                    新洲-阳逻开发区-余泊南路",30.697451,114.577,8284,2012
"盘龙瑞祥熙园??
                    黄陂-汉口北-汉黄路",30.696559,114.32324,10816,2010
"龙辰丽湾??
                    黄陂-汉口北-刘店特8号",30.696187,114.318037,12719,2010
"龙辰丽湾??
                    黄陂-汉口北-刘店特8号",30.696187,114.318037,11712,2012
"龙辰丽湾??
                    黄陂-汉口北-刘店特8号",30.696187,114.318037,11666,2012
"宜鑫盛世??
                    黄陂-汉口北-汉黄路",30.694338,114.323328,12643,2010
"澜桥康城??
                    黄陂-盘龙城-甲宝山路",30.692894,114.266868,12511,2008
"城开天兴花园??
                    江岸-堤角-兴盛路201号",30.692558,114.375041,14044,2009
"城开天兴花园??
                    江岸-堤角-兴盛路201号",30.692558,114.375041,14102,2014
"卓越罗纳河谷??
                    黄陂-盘龙城-甲宝山路",30.69143,114.261352,10367,2010
"卓越罗纳河谷??
                    黄陂-盘龙城-甲宝山路",30.69143,114.261352,10000,2012
"卓越罗纳河谷??
                    黄陂-盘龙城-甲宝山路",30.69143,114.261352,11048,2009
"卓越罗纳河谷??
                    黄陂-盘龙城-甲宝山路",30.69143,114.261352,11188,2009
"天琴湾??
                    新洲-阳逻开发区-环湖路",30.684438,114.579528,14000,2012
"天琴湾??
                    新洲-阳逻开发区-环湖路",30.684438,114.579528,6952,2010
"天琴湾??
                    新洲-阳逻开发区-环湖路",30.684438,114.579528,7738,2008
"天琴湾??
                    新洲-阳逻开发区-环湖路",30.684438,114.579528,7941,2012
"武汉奥林匹克花园??
                    东西湖-金银湖-环湖中路18号",30.677986,114.217978,13205,2004
"远洋世界(一期)??
                    东西湖-吴家山-径河路2号",30.677838,114.149484,12087,2012
"远洋世界(三期)??
                    东西湖-吴家山-泾河路",30.677838,114.149484,10108,2014
"财富兴园中部慧谷??
                    东西湖-金银湖-环湖路9号",30.676114,114.210217,12448,2012
"财富兴园中部慧谷??
                    东西湖-金银湖-环湖路9号",30.676114,114.210217,12371,2015
"财富兴园中部慧谷??
                    东西湖-金银湖-环湖路9号",30.676114,114.210217,12213,2012
"财富兴园中部慧谷??
                    东西湖-金银湖-环湖路9号",30.676114,114.210217,12470,2015
"财富兴园中部慧谷??
                    东西湖-金银湖-环湖路9号",30.676114,114.210217,12352,2016
"金银湖一号??
                    东西湖-金银湖-环湖路",30.675671,114.213448,17903,2017
"金银湖一号??
                    东西湖-金银湖-环湖路",30.675671,114.213448,15350,2016
"金色水岸??
                    新洲-阳逻开发区-平江西路",30.674178,114.56671,6804,2010
"顺驰泊林??
                    东西湖-金银湖-环湖路8号",30.673934,114.217015,12589,2008
"新港天地??
                    新洲-阳逻开发区-阳光大道557号",30.673652,114.578921,8043,2015
"水印桃源??
                    东西湖-金银湖-环湖路65号",30.673581,114.221119,13861,2013
"水印桃源??
                    东西湖-金银湖-环湖路65号",30.673581,114.221119,12173,2010
"锦湖金利花园??
                    江岸-堤角-解放大道2082号",30.669953,114.350752,16923,2012
"福星惠誉红桥城??
                    江岸-堤角-黄汉路",30.669243,114.340004,16304,2016
"福星惠誉红桥城??
                    江岸-堤角-黄汉路",30.669243,114.340004,17391,2016
"万丰丰泽园??
                    东西湖-金银湖-马池北路",30.668951,114.230074,15000,2015
"花样年花样城??
                    东西湖-金银湖-柏环一路6号",30.668394,114.17356,11229,2014
"花样年花样城??
                    东西湖-金银湖-柏环一路6号",30.668394,114.17356,13924,2015
"花样年花样城??
                    东西湖-金银湖-柏环一路6号",30.668394,114.17356,12528,2016
"武汉恒大城二期??
                    东西湖-金银湖-柏环一路",30.668182,114.1776,13656,2011
"悦秀苑??
                    江岸-百步亭-安居路253号",30.668067,114.323983,18000,2010
"悦秀苑??
                    江岸-百步亭-安居路253号",30.668067,114.323983,18438,2009
"悦秀苑??
                    江岸-百步亭-安居路253号",30.668067,114.323983,18840,2008
"悦秀苑??
                    江岸-百步亭-安居路253号",30.668067,114.323983,20000,2009
"悦秀苑??
                    江岸-百步亭-安居路253号",30.668067,114.323983,18000,2009
"景兰苑??
                    江岸-百步亭-安居路286号",30.667594,114.326764,19122,2010
"银湖水榭??
                    东西湖-金银湖-环湖路73号",30.667559,114.22244,19863,2013
"银湖水榭??
                    东西湖-金银湖-环湖路73号",30.667559,114.22244,15217,2014
"美联公园前??
                    江岸-堤角-解放大道2803号",30.667522,114.341183,15000,2018
"碧桂园海昌天澜二期??
                    东西湖-将军路-金银潭大道96号",30.666738,114.282407,18461,2013
"碧桂园海昌天澜三期??
                    东西湖-将军路-金银潭大道",30.666738,114.282407,17204,2017
"碧桂园海昌天澜二期??
                    东西湖-将军路-金银潭大道96号",30.666738,114.282407,15463,2015
"碧桂园海昌天澜一期??
                    东西湖-将军路-金银潭大道96号",30.666738,114.282407,19642,2015
"碧桂园海昌天澜三期??
                    东西湖-将军路-金银潭大道",30.666738,114.282407,16666,2016
"新澳阳光城??
                    东西湖-金银湖-马池路特5号",30.666031,114.23632,14375,2008
"新澳阳光城??
                    东西湖-金银湖-马池路特5号",30.666031,114.23632,15967,2010
"F、阳光城??
                    黄陂-盘龙城-巨龙大道特8号",30.665609,114.235876,10915,2012
"国际丽都??
                    东西湖-金银湖-环湖中路",30.66515,114.231207,15476,2017
"武汉恒大城一期??
                    东西湖-金银湖-环湖路43号",30.664725,114.173148,13656,2012
"武汉恒大城一期??
                    东西湖-金银湖-环湖路43号",30.664725,114.173148,12115,2017
"万科西半岛??
                    东西湖-金银湖-环湖路18号",30.66436,114.178208,14015,2009
"万科西半岛??
                    东西湖-金银湖-环湖路18号",30.66436,114.178208,14065,2008
"万科西半岛??
                    东西湖-金银湖-环湖路18号",30.66436,114.178208,13793,2010
"万科西半岛??
                    东西湖-金银湖-环湖路18号",30.66436,114.178208,14876,2000
"万科西半岛??
                    东西湖-金银湖-环湖路18号",30.66436,114.178208,14876,2010
"万科西半岛??
                    东西湖-金银湖-环湖路18号",30.66436,114.178208,12359,2008
"万科西半岛??
                    东西湖-金银湖-环湖路18号",30.66436,114.178208,13372,2010
"万科西半岛??
                    东西湖-金银湖-环湖路18号",30.66436,114.178208,12558,2005
"汉口新城??
                    江岸-百步亭-矿场路6号",30.664102,114.349858,19032,2007
"汉口新城??
                    江岸-百步亭-矿场路6号",30.664102,114.349858,18461,2010
"晋合金桥世家??
                    江岸-后湖-金桥大道68号",30.663422,114.305258,28000,2013
"晋合金桥世家??
                    江岸-后湖-金桥大道68号",30.663422,114.305258,28155,2013
"晋合金桥世家??
                    江岸-后湖-金桥大道68号",30.663422,114.305258,30674,2012
"愿景城(C区)??
                    东西湖-将军路-车场南路",30.663387,114.253126,14705,2017
"愿景城(C区)??
                    东西湖-将军路-车场南路",30.663387,114.253126,14639,2017
"绿地汉口中心??
                    江岸-塔子湖-健美街",30.663342,114.299988,27500,2017
"绿地汉口中心??
                    江岸-塔子湖-健美街",30.663342,114.299988,20192,2016
"绿地汉口中心??
                    江岸-塔子湖-健美街",30.663342,114.299988,19142,2017
"百步亭世博园??
                    江岸-百步亭-百步亭花园路168号",30.662931,114.323356,22638,2012
"百步亭世博园??
                    江岸-百步亭-百步亭花园路168号",30.662931,114.323356,22361,2012
"百步亭世博园??
                    江岸-百步亭-百步亭花园路168号",30.662931,114.323356,22043,2008
"军安鑫苑??
                    新洲-阳逻开发区-军安路",30.662686,114.581204,9655,2010
"联通佳苑??
                    东西湖-金银湖-马池中路",30.662635,114.23698,13812,2012
"泰跃金河??
                    东西湖-金银湖-环湖路41号",30.662283,114.17382,14179,2007
"泰跃金河??
                    东西湖-金银湖-环湖路41号",30.662283,114.17382,12396,2009
"泰跃金河??
                    东西湖-金银湖-环湖路41号",30.662283,114.17382,12934,2012
"泰跃金河??
                    东西湖-金银湖-环湖路41号",30.662283,114.17382,12593,2011
"泰跃金河??
                    东西湖-金银湖-环湖路41号",30.662283,114.17382,12448,2013
"泰跃金河??
                    东西湖-金银湖-环湖路41号",30.662283,114.17382,14590,2010
"紫澄花园??
                    江岸-百步亭-幸福二路",30.661827,114.314419,20512,2015
"汉口城市广场1期??
                    江岸-百步亭-新益街",30.661707,114.3163,25572,2013
"汉口城市广场5期??
                    江岸-百步亭-新益街",30.661707,114.3163,24342,2015
"汉口城市广场1期??
                    江岸-百步亭-新益街",30.661707,114.3163,29000,2015
"汉口城市广场4期??
                    江岸-百步亭-新益街",30.661707,114.3163,20222,2015
"汉口城市广场4期??
                    江岸-百步亭-新益街",30.661707,114.3163,20289,2016
"新生活摩尔城柠檬墅??
                    江岸-百步亭-后湖大道",30.66152,114.328919,13199,2008
"新生活摩尔城柠檬墅??
                    江岸-百步亭-后湖大道",30.66152,114.328919,13066,2013
"恋湖家园??
                    东西湖-金银湖-环湖路特8号",30.661196,114.218954,13553,2003
"恋湖家园5期??
                    东西湖-金银湖-金银湖南街",30.661196,114.218954,14044,2010
"恋湖家园??
                    东西湖-金银湖-环湖路特8号",30.661196,114.218954,14204,2003
"美联德玛假日二期阳光里??
                    东西湖-吴家山-黄狮海东路,近啤砖路",30.661072,114.159311,11029,2015
"汇悦天地??
                    江岸-塔子湖-塔子湖东路",30.660993,114.291001,17254,2018
"汇悦天地??
                    江岸-塔子湖-塔子湖东路",30.660993,114.291001,21644,2014
"汇悦天地??
                    江岸-塔子湖-塔子湖东路",30.660993,114.291001,22147,2015
"汇悦天地??
                    江岸-塔子湖-塔子湖东路",30.660993,114.291001,20805,2015
"汇悦天地??
                    江岸-塔子湖-塔子湖东路",30.660993,114.291001,26666,2016
"汇悦天地??
                    江岸-塔子湖-塔子湖东路",30.660993,114.291001,22162,2016
"吉祥谷??
                    江岸-后湖-金桥大道66号",30.660961,114.303115,22727,2005
"幸福时代??
                    江岸-百步亭-新益街135号",30.660382,114.320014,17532,2013
"幸福时代四期(商住楼)??
                    江岸-百步亭-温馨路,近幸福街",30.660382,114.320014,17708,2015
"幸福时代??
                    江岸-百步亭-新益街135号",30.660382,114.320014,23333,2015
"百步龙庭??
                    江岸-百步亭-百步亭花园路158号",30.659639,114.324156,20000,2008
"将军梧桐树下工薪小区??
                    东西湖-常青花园-姑李公路",30.659151,114.252399,14939,2008
"汉口城市广场3期??
                    江岸-百步亭-怡康路",30.659127,114.313665,23837,2013
"美联奥林匹克花园五期??
                    东西湖-常青花园-奥园西路2号",30.659024,114.242982,17556,2018
"美联奥林匹克花园五期??
                    东西湖-常青花园-奥园西路2号",30.659024,114.242982,17556,2017
"美联奥林匹克花园一期??
                    东西湖-常青花园-奥园西路2号",30.659024,114.242982,19512,2014
"美联奥林匹克花园二期??
                    东西湖-常青花园-奥园西路2号",30.659024,114.242982,21917,2014
"美联奥林匹克花园一期??
                    东西湖-常青花园-奥园西路2号",30.659024,114.242982,20073,2016
"美联奥林匹克花园一期??
                    东西湖-常青花园-奥园西路2号",30.659024,114.242982,20121,2013
"汀香水榭??
                    东西湖-金银湖-环湖路81号",30.659005,114.223147,12512,1991
"汀香水榭(别墅)??
                    东西湖-金银湖-环湖路81号",30.659005,114.223147,21203,2004
"光明上海公馆??
                    江岸-塔子湖-塔子湖东路",30.658723,114.291976,22772,2016
"都市假日??
                    东西湖-金银湖-马池路特1号",30.658049,114.237192,15000,2010
"宏宇绿色新都??
                    江岸-后湖-金桥大道38号",30.657987,114.303238,17765,2015
"宏宇绿色新都??
                    江岸-后湖-金桥大道38号",30.657987,114.303238,16500,2012
"将军花园C区??
                    东西湖-将军路-将军一路",30.657793,114.258193,14385,2000
"金山银湖湾??
                    东西湖-吴家山-黄狮海东路",30.657765,114.15888,10434,2007
"沿海丽水佳园??
                    东西湖-金银湖-马池路特1号",30.657707,114.233901,14375,2006
"沿海丽水佳园??
                    东西湖-金银湖-马池路特1号",30.657707,114.233901,14791,2004
"沿海丽水佳园??
                    东西湖-金银湖-马池路特1号",30.657707,114.233901,19578,2005
"沿海丽水佳园??
                    东西湖-金银湖-马池路特1号",30.657707,114.233901,13302,2004
"百步华庭??
                    江岸-百步亭-百步亭花园路201号",30.657644,114.320863,17777,2012
"华生汉口城市广场南区B??
                    硚口-长丰大道-长风路",30.657268,114.312055,13170,2013
"华生汉口城市广场南区B??
                    硚口-长丰大道-长风路",30.657268,114.312055,13291,2013
"华生汉口城市广场南区B??
                    硚口-长丰大道-长风路",30.657268,114.312055,14102,2013
"华生汉口城市广场南区C??
                    硚口-长丰大道-长风路",30.657268,114.312055,13793,2013
"华生汉口城市广场南区B??
                    硚口-长丰大道-长风路",30.657268,114.312055,16091,2011
"华生汉口城市广场北区??
                    硚口-长丰大道-城华路",30.657268,114.312055,16097,2011
"华生汉口城市广场南区D??
                    硚口-长丰大道-长风路",30.657268,114.312055,15625,2014
"东建金海湾??
                    东西湖-吴家山-金北一路",30.656887,114.153649,11982,2015
"百合苑??
                    江岸-百步亭-兴业路177附18号",30.65656,114.325003,18548,2008
"临江港湾??
                    青山-青山周边-武丰二路",30.6565,114.419339,14571,2008
"临江港湾??
                    青山-青山周边-武丰二路",30.6565,114.419339,16477,2009
"万锦公馆??
                    江岸-百步亭-后湖南路",30.656412,114.32184,24060,2013
"融泰嘉境??
                    东西湖-将军路-银花街48号",30.656392,114.259553,15340,2010
"同安家园??
                    江岸-后湖-后湖大道",30.655986,114.307276,17888,2007
"同安家园??
                    江岸-后湖-后湖大道",30.655986,114.307276,18539,2012
"同安家园??
                    江岸-后湖-后湖大道",30.655986,114.307276,18837,2009
"同安家园??
                    江岸-后湖-后湖大道",30.655986,114.307276,17619,2009
"同安家园??
                    江岸-后湖-后湖大道",30.655986,114.307276,21250,2008
"碧海花园??
                    东西湖-金银湖-金银湖北街",30.655873,114.204219,12820,2008
"碧海花园??
                    东西湖-金银湖-金银湖北街",30.655873,114.204219,12217,2006
"碧海花园??
                    东西湖-金银湖-金银湖北街",30.655873,114.204219,13302,2004
"碧海花园??
                    东西湖-金银湖-金银湖北街",30.655873,114.204219,12647,2009
"碧海花园??
                    东西湖-金银湖-金银湖北街",30.655873,114.204219,11972,2006
"碧海花园??
                    东西湖-金银湖-金银湖北街",30.655873,114.204219,12230,2006
"碧海花园??
                    东西湖-金银湖-金银湖北街",30.655873,114.204219,12554,2009
"碧海花园??
                    东西湖-金银湖-金银湖北街",30.655873,114.204219,12093,2005
"碧海花园??
                    东西湖-金银湖-金银湖北街",30.655873,114.204219,13284,2008
"方舟花园??
                    江岸-百步亭-兴业路324号",30.655802,114.331016,15000,2000
"长投海德公园??
                    江岸-塔子湖-塔子湖东路",30.655638,114.291277,1964,2016
"走马岭1号小区??
                    东西湖-东西湖周边-走马岭1号",30.655215,114.035905,6744,2017
"万锦江城??
                    江岸-百步亭-兴业路175号",30.65498,114.321891,19791,2013
"住开盛世长江??
                    新洲-阳逻开发区-汽渡路8号",30.654884,114.572743,6481,2012
"祥生柏景湾东区??
                    东西湖-金银湖-环湖路39号",30.65486,114.175028,14800,2014
"祥生柏景湾东区??
                    东西湖-金银湖-环湖路39号",30.65486,114.175028,14925,2014
"祥生柏景湾东区??
                    东西湖-金银湖-环湖路39号",30.65486,114.175028,13207,2014
"鑫海花城东区??
                    东西湖-吴家山-三店中路",30.654845,114.149537,11764,2004
"百步亭花园安居苑B区??
                    江岸-百步亭-安居路52号",30.65447,114.327159,18000,2001
